IDTNS;TIPO;OPERADORA;ESTADO;DATA;ANO_BASE;Q1;Q2;Q2_1;Q2_2;Q3;Q4;Q5;Q6;Q7;Q7a;Q8;J1;B1_1;B1_2;C1_1;C1_2;C1_3;D1_1;D1_2;A1_1;A1_2;A1_3;A1_4;A2_1;A2_2;A2_3;A3;A4;E1;E2;E3;E4;E5;E6;E7;E8;F1;F2_1;F2_2;F2_3;F3;F4_1;F4_2;F4_3;G1;G2_1;G2_2;G2_3;H0;COD_IBGE;H1;H2;H2a;H3;I1;I2;PESO
83570;BANDA-LARGA;CLARO/NET;MA;18/jul/20;2020;1;;2;2;1;1;1;1;40;6;2;7;7;7;8;8;5;7;8;1;;;;9;8;9;9;;1;8;1;9;2;;2;;2;;;;2;;;;;2;2;1;SÃO LUÍS;2111300;2;2000;1;7;1;;0,30203225
104927;BANDA-LARGA;CLARO/NET;MS;18/jul/20;2020;1;;2;2;1;1;2;1;22;3;1;8;8;8;9;7;9;6;9;1;2;;;5;8;8;7;9;2;;2;;2;;1;7;2;;;;1;9;9;8;;2;1;1;CAMPO GRANDE;5002704;1;2600;2;6;3;;0,448520949
128240;BANDA-LARGA;CLARO/NET;PA;18/jul/20;2020;1;;2;2;1;1;1;1;44;7;2;7;8;8;8;7;7;0;4;1;2;;;9;5;9;9;8;1;6;1;5;2;;2;;2;;;;2;;;;;1;1;1;BELÉM;1501402;3;9000;4;7;1;;0,498548009
164983;BANDA-LARGA;CLARO/NET;PR;18/jul/20;2020;1;;2;2;1;1;1;1;38;6;1;8;5;8;8;8;8;8;8;1;2;;;7;9;7;8;8;2;;2;;2;;1;8;2;;;;1;8;9;9;;2;2;1;GUARAPUAVA;4109401;2;3000;2;7;3;;2,176868465
255729;BANDA-LARGA;ALGAR;GO;18/jul/20;2020;1;;2;2;1;1;2;1;18;3;1;3;7;4;1;0;5;6;6;1;;3;;0;7;10;6;;2;;2;;2;;1;2;2;;;;2;;;;;2;2;1;ITUMBIARA;5211503;2;1500;1;5;1;;0,082942386
276537;BANDA-LARGA;ALGAR;SP;18/jul/20;2020;1;;2;2;1;1;1;1;52;8;2;6;10;6;8;8;8;10;8;1;;;;10;7;10;10;;1;5;1;8;1;0;2;;2;;;;2;;;;;2;2;1;BRODOWSKI;3507803;3;4000;2;5;1;;0,385319884
309776;BANDA-LARGA;BRISANET;RN;18/jul/20;2020;1;;2;2;1;1;1;1;32;5;1;8;9;7;8;6;6;10;9;;;;97;;;;;;2;;1;7;2;;1;7;1;10;10;10;1;10;10;8;;2;2;2;MOSSORÓ;2408003;2;5000;3;7;1;;0,527034435
348950;BANDA-LARGA;HUGHES;RS;18/jul/20;2020;1;;2;2;1;1;1;1;27;4;2;2;5;5;2;2;2;2;5;1;;;;1;2;8;7;;1;0;1;5;1;0;1;0;2;;;;2;;;;;2;2;2;ALVORADA;4300604;1;1800;1;5;1;;0,068548425
358265;BANDA-LARGA;HUGHES;SP;18/jul/20;2020;1;;2;2;1;1;1;1;24;3;1;5;5;5;5;7;0;0;0;1;;;;0;0;0;0;;1;0;1;0;2;;1;0;2;;;;2;;;;;2;2;2;JUQUITIBA;3526209;2;1500;1;6;1;;0,106652325
380688;BANDA-LARGA;OI;AL;18/jul/20;2020;1;;2;2;1;1;1;1;67;8;1;0;0;0;0;6;0;6;6;1;;;;8;6;0;8;;2;;2;;2;;1;6;2;;;;1;8;7;8;;1;1;1;MACEIÓ;2704302;3;25000;5;7;1;;0,083964386
