IDTNS;TIPO;OPERADORA;ESTADO;DATA;ANO_BASE;Q1;Q2;Q2_1;Q2_2;Q3;Q4;Q5;Q6;Q7;Q7a;Q8;J1;B1_1;B1_2;C1_1;C1_2;C1_3;D1_1;D1_2;A1_1;A1_2;A1_3;A1_4;A2_1;A2_2;A2_3;A3;A4;E1;E2;E3;E4;E5;E6;E7;E8;F1;F2_1;F2_2;F2_3;F3;F4_1;F4_2;F4_3;G1;G2_1;G2_2;G2_3;H0;COD_IBGE;H1;H2;H2a;H3;I1;I2;PESO
460495;BANDA-LARGA;OI;MA;25/jul/20;2020;1;;2;2;1;1;1;1;26;4;2;7;5;7;7;5;5;8;8;1;;;;4;5;8;8;;2;;2;;2;;1;7;2;;;;1;5;8;8;;2;1;1;SÃO JOSÉ DE RIBAMAR;2111201;2;1500;1;5;1;;0,194692994
484038;BANDA-LARGA;OI;MS;25/jul/20;2020;1;;2;2;1;1;2;1;47;7;1;7;7;7;8;8;7;6;8;1;;;;6;7;7;8;;2;;2;;2;;1;7;2;;;;1;8;8;6;;1;2;1;LADÁRIO;5005202;1;5000;3;9;2;;0,515743188
530257;BANDA-LARGA;OI;PE;25/jul/20;2020;1;;2;2;1;1;1;1;60;8;2;6;7;7;7;7;7;5;8;1;2;3;;4;4;4;4;5;1;3;1;3;2;;1;6;2;;;;1;7;8;7;;2;1;1;RECIFE;2611606;2;10000;4;5;1;;0,259755499
580026;BANDA-LARGA;OI;RN;25/jul/20;2020;1;;2;2;1;1;2;1;21;3;2;9;10;8;7;6;10;8;7;1;;;;7;3;8;8;;2;;1;10;2;;2;;1;8;10;10;2;;;;;2;1;1;NATAL;2408102;2;23000;5;6;1;;0,093547923
604259;BANDA-LARGA;OI;RR;25/jul/20;2020;1;;2;2;1;1;1;1;39;6;2;6;2;2;3;1;0;0;0;1;2;3;;4;5;8;10;5;2;;2;;2;;1;6;2;;;;1;8;5;5;;2;1;1;BOA VISTA;1400100;1;3000;2;7;1;;0,084349574
672015;BANDA-LARGA;SKY;AM;25/jul/20;2020;1;;2;2;1;1;1;1;35;5;1;3;0;5;0;0;0;0;0;;2;;;;;;;0;1;0;1;0;1;0;2;;2;;;;2;;;;;2;2;2;MANAUS;1302603;3;999997;99;7;1;;0,133954269
672077;BANDA-LARGA;SKY;AM;25/jul/20;2020;1;;2;2;1;1;1;1;46;7;1;0;5;0;0;0;0;0;0;;;;97;;;;;;1;0;1;0;1;0;1;0;1;0;5;5;2;;;;;2;2;2;MANAUS;1302603;2;2000;1;5;1;;0,133954269
708877;BANDA-LARGA;SKY;MA;25/jul/20;2020;1;;2;2;1;1;1;1;31;5;1;8;7;9;7;7;8;7;8;;;;97;;;;;;2;;2;;2;;2;;2;;;;2;;;;;2;2;2;SÃO LUÍS;2111300;2;5000;3;7;3;;0,099019332
733697;BANDA-LARGA;SKY;MT;25/jul/20;2020;1;;2;2;1;1;1;1;26;4;1;4;2;0;3;3;0;0;0;1;2;;;2;0;3;5;0;1;2;2;;2;;1;0;2;;;;1;7;7;0;;2;2;2;CUIABÁ;5103403;2;3000;2;7;1;;0,0548337
734649;BANDA-LARGA;SKY;MT;25/jul/20;2020;1;;2;2;1;1;1;1;20;3;2;4;5;5;5;6;6;4;6;;2;;;;;;;8;1;5;1;6;1;0;1;5;2;;;;2;;;;;2;2;2;CUIABÁ;5103403;1;900;1;6;2;;0,0548337
734657;BANDA-LARGA;SKY;MT;25/jul/20;2020;1;;2;2;1;1;1;1;41;7;2;10;10;10;9;8;8;8;8;;;;97;;;;;;1;8;2;;2;;1;8;2;;;;2;;;;;1;2;2;CUIABÁ;5103403;2;1800;1;5;1;;0,0548337
747537;BANDA-LARGA;SKY;PA;25/jul/20;2020;1;;2;2;1;1;1;1;30;4;2;7;8;8;10;7;9;10;10;;2;;;;;;;9;2;;2;;2;;1;8;2;;;;2;;;;;2;2;2;BELÉM;1501402;1;3000;2;7;1;;0,123385668
772565;BANDA-LARGA;TIM;AM;25/jul/20;2020;1;;2;2;1;1;1;1;29;4;2;5;7;7;2;2;9;10;10;1;;;;10;2;9;9;;2;;2;;2;;1;5;2;;;;1;8;5;10;;2;2;1;MANAUS;1302603;2;20000;5;9;1;;0,088639026
772897;BANDA-LARGA;TIM;AM;25/jul/20;2020;1;;2;2;1;1;1;1;38;6;2;7;5;6;7;4;7;6;3;1;;;;2;3;7;7;;2;;2;;2;;1;7;2;;;;2;;;;;1;2;2;MANAUS;1302603;2;10000;4;9;1;;0,088639026
784021;BANDA-LARGA;TIM;BA;25/jul/20;2020;1;;2;2;1;1;1;1;60;8;2;5;5;2;5;4;4;6;5;;2;;;;;;;5;2;;2;;1;10;1;6;2;;;;1;7;5;10;;2;2;1;SALVADOR;2927408;1;6000;3;7;1;;0,148083294
784114;BANDA-LARGA;TIM;BA;25/jul/20;2020;1;;2;2;1;1;1;1;57;8;2;9;9;9;9;8;9;9;9;1;;;;8;8;8;9;;2;;2;;2;;1;8;2;;;;1;8;9;10;;1;2;1;SALVADOR;2927408;1;35000;5;9;1;;0,148083294
836081;BANDA-LARGA;VIVO;BA;25/jul/20;2020;1;;2;2;1;1;2;1;22;3;2;8;9;7;7;7;8;9;9;1;;;;9;5;10;8;;1;10;2;;2;;1;7;2;;;;1;7;9;10;;1;2;1;SALVADOR;2927408;3;4000;2;6;1;;0,668020487
836096;BANDA-LARGA;VIVO;BA;25/jul/20;2020;1;;2;2;1;1;1;1;55;8;1;5;7;7;3;3;3;8;8;1;2;;;7;4;5;5;6;2;;2;;2;;1;4;2;;;;1;4;2;2;;1;2;1;SALVADOR;2927408;1;7000;4;7;1;;0,668020487
836112;BANDA-LARGA;VIVO;BA;25/jul/20;2020;1;;2;2;1;1;1;1;43;7;1;10;10;10;10;10;10;8;10;1;2;;;7;8;8;8;9;1;8;2;;2;;1;8;2;;;;1;8;8;10;;2;2;1;SALVADOR;2927408;2;9000;4;7;1;;0,668020487
836702;BANDA-LARGA;VIVO;BA;25/jul/20;2020;1;;2;2;1;1;1;1;31;5;1;9;9;8;9;9;9;9;9;1;;;;8;8;8;9;;2;;2;;2;;2;;2;;;;2;;;;;1;2;1;SALVADOR;2927408;2;4000;2;9;1;;0,668020487
894828;BANDA-LARGA;VIVO;MS;25/jul/20;2020;1;;2;2;1;1;1;1;59;8;2;7;6;7;8;8;8;4;4;;;;97;;;;;;2;;2;;2;;2;;2;;;;1;6;6;5;;2;1;2;CAMPO GRANDE;5002704;99;999997;99;7;1;;0,394052503
914339;BANDA-LARGA;VIVO;PB;25/jul/20;2020;1;;2;2;1;1;1;1;27;4;2;5;7;3;9;6;6;3;3;1;;;;5;5;7;7;;2;;1;8;2;;2;;2;;;;2;;;;;2;2;1;JOÃO PESSOA;2507507;1;4000;2;7;2;;0,212973903
932207;BANDA-LARGA;VIVO;PI;25/jul/20;2020;1;;2;2;1;1;1;1;40;6;2;5;5;5;6;5;5;5;4;;2;;;;;;;5;1;7;1;7;1;8;1;7;2;;;;2;;;;;1;1;1;TERESINA;2211001;2;1200;1;5;1;;0,09161355
18985;BANDA-LARGA;CLARO/NET;AM;27/jul/20;2020;1;;2;2;1;1;1;1;26;4;2;7;8;7;10;8;9;10;8;;2;3;;;;;;6;2;;1;10;2;;1;9;2;;;;2;;;;;2;2;1;MANAUS;1302603;2;3200;2;9;1;;0,835665362
42364;BANDA-LARGA;CLARO/NET;CE;27/jul/20;2020;1;;2;2;1;1;2;1;55;8;1;10;10;10;10;9;10;10;10;1;2;;;10;10;10;10;10;2;;1;10;2;;1;10;1;10;10;10;2;;;;;1;1;1;FORTALEZA;2304400;2;2000;1;5;1;;0,33047842
126818;BANDA-LARGA;CLARO/NET;PA;27/jul/20;2020;1;;2;2;1;1;1;1;50;7;1;2;2;2;0;1;1;10;5;1;2;;;2;3;2;3;3;2;;2;;2;;1;2;2;;;;1;2;1;2;;1;2;1;BELÉM;1501402;5;999997;4;7;1;;0,498548009
194795;BANDA-LARGA;CLARO/NET;RO;27/jul/20;2020;1;;2;2;1;1;1;1;35;5;2;9;8;8;9;8;9;9;10;1;;;;7;7;6;7;;2;;1;9;2;;1;8;2;;;;2;;;;;1;2;2;PORTO VELHO;1100205;2;15000;5;9;3;;0,071185672
224627;BANDA-LARGA;CLARO/NET;SE;27/jul/20;2020;1;;2;2;1;1;1;1;63;8;2;8;10;8;8;8;8;10;10;;;3;;;;;;;2;;1;10;2;;2;;2;;;;1;10;10;10;;2;2;1;ARACAJU;2800308;2;6000;3;9;3;;0,189762983
234238;BANDA-LARGA;CLARO/NET;SP;27/jul/20;2020;1;;2;2;1;1;1;1;42;7;1;8;9;6;8;8;8;5;0;1;2;;;0;5;5;5;5;2;;1;5;2;;1;5;2;;;;2;;;;;1;1;1;SÃO CAETANO DO SUL;3548807;2;999997;2;9;1;;19,63292645
234839;BANDA-LARGA;CLARO/NET;SP;27/jul/20;2020;1;;2;2;1;1;1;1;31;5;1;7;8;8;8;7;8;10;10;1;2;;;8;7;8;8;9;2;;2;;2;;2;;2;;;;2;;;;;1;2;2;GUARULHOS;3518800;3;3000;2;7;1;;19,63292645
246523;BANDA-LARGA;CLARO/NET;TO;27/jul/20;2020;1;;2;2;1;1;1;1;79;9;2;9;6;9;9;8;9;9;9;1;2;;;7;7;6;7;99;2;;2;;2;;1;8;2;;;;2;;;;;1;1;1;PALMAS;1721000;2;12000;5;6;1;;0,06265625
255694;BANDA-LARGA;ALGAR;GO;27/jul/20;2020;1;;2;2;1;1;2;1;29;4;1;8;10;10;8;8;8;10;10;1;2;;;8;10;10;10;10;1;10;1;10;2;;2;;2;;;;2;;;;;2;1;1;ITUMBIARA;5211503;1;999997;2;5;3;;0,082942386
265810;BANDA-LARGA;ALGAR;MG;27/jul/20;2020;1;;2;2;1;1;2;1;29;4;1;8;9;10;8;9;8;9;10;1;;;;7;4;4;5;;1;4;2;;1;8;2;;2;;;;2;;;;;2;1;1;UBERLÂNDIA;3170206;2;4000;2;8;1;;1,720490595
265992;BANDA-LARGA;ALGAR;MG;27/jul/20;2020;1;;2;2;1;1;1;1;43;7;2;6;7;7;6;6;6;6;7;1;;;;8;8;8;8;;1;7;2;;2;;2;;2;;;;2;;;;;2;1;1;UBERLÂNDIA;3170206;2;4000;2;5;1;;1,720490595
300499;BANDA-LARGA;BRISANET;PE;27/jul/20;2020;1;;2;2;1;1;1;1;21;3;2;10;9;10;10;10;10;10;9;;;3;;;;;;;2;;2;;2;;2;;2;;;;2;;;;;2;2;2;VITÓRIA DE SANTO ANTÃO;2616407;2;1500;1;6;1;;0,153672687
358827;BANDA-LARGA;HUGHES;SP;27/jul/20;2020;1;;2;2;1;1;2;1;39;6;2;2;8;0;2;2;0;8;0;1;2;;;5;8;0;5;0;1;0;2;;2;;1;0;2;;;;1;8;8;0;;2;2;2;TUIUTI;3554953;4;2500;2;5;1;;0,106652325
369665;BANDA-LARGA;OI;AC;27/jul/20;2020;1;;2;2;1;1;1;1;42;7;1;1;2;2;0;0;0;2;2;1;2;;;2;0;4;4;4;2;;2;;2;;1;1;2;;;;1;0;0;1;;2;2;1;RIO BRANCO;1200401;2;11000;5;9;1;;0,148912782
391676;BANDA-LARGA;OI;AM;27/jul/20;2020;1;;2;2;1;1;1;1;62;8;2;8;9;8;7;7;8;7;8;1;2;;;7;9;9;7;8;1;8;2;;1;9;1;8;2;;;;1;9;10;7;;1;1;1;MANAUS;1302603;2;9000;4;7;1;;0,087477352
439893;BANDA-LARGA;OI;ES;27/jul/20;2020;1;;2;2;1;1;1;1;37;6;1;7;5;5;3;0;0;4;5;1;;;;0;3;0;4;;1;0;2;;2;;1;0;2;;;;1;5;5;5;;2;1;1;VITÓRIA;3205309;1;2000;1;5;1;;0,514795598
440367;BANDA-LARGA;OI;ES;27/jul/20;2020;1;;2;2;1;1;1;1;48;7;2;8;7;7;8;7;8;5;8;1;;;;6;6;7;8;;2;;2;;2;;1;8;2;;;;2;;;;;2;2;1;VILA VELHA;3205200;2;1500;1;5;1;;0,514795598
440375;BANDA-LARGA;OI;ES;27/jul/20;2020;1;;2;2;1;1;1;1;60;8;1;5;7;6;9;6;9;5;6;;;3;;;;;;;1;8;2;;1;0;1;0;2;;;;2;;;;;2;2;1;VITÓRIA;3205309;1;999998;98;7;1;;0,514795598
440388;BANDA-LARGA;OI;ES;27/jul/20;2020;1;;2;2;1;1;1;1;39;6;1;7;6;2;7;8;8;5;4;1;2;;;3;3;5;5;6;1;6;2;;1;6;2;;1;4;3;5;2;;;;;2;2;1;SERRA;3205002;2;3000;2;3;1;;0,514795598
473110;BANDA-LARGA;OI;MG;27/jul/20;2020;1;;2;2;1;1;2;1;46;7;1;5;8;7;5;5;5;7;7;1;;;;8;7;7;7;;2;;2;;2;;1;7;2;;;;1;9;10;9;;2;1;1;CONTAGEM;3118601;1;1000;1;7;1;;2,373394851
473280;BANDA-LARGA;OI;MG;27/jul/20;2020;1;;2;2;1;1;1;1;34;5;2;4;2;2;4;3;5;2;0;;;;97;;;;;;2;;2;;2;;1;2;2;;;;2;;;;;2;1;1;CONTAGEM;3118601;1;4000;2;5;1;;2,373394851
473394;BANDA-LARGA;OI;MG;27/jul/20;2020;1;;2;2;1;1;1;1;36;6;1;5;5;4;5;4;5;6;4;1;2;;;0;0;1;2;1;2;;2;;2;;1;2;2;;;;1;2;2;6;;2;2;1;BELO HORIZONTE;3106200;2;999997;4;9;1;;2,373394851
484567;BANDA-LARGA;OI;MS;27/jul/20;2020;1;;2;2;1;1;1;1;45;7;1;8;9;9;8;7;7;9;8;;;;97;;;;;;2;;2;;2;;2;;2;;;;2;;;;;2;2;1;CORUMBÁ;5003207;3;999997;2;7;1;;0,515743188
542634;BANDA-LARGA;OI;PI;27/jul/20;2020;1;;2;2;1;1;1;1;45;7;1;7;7;8;5;5;5;7;6;1;;;;5;4;5;6;;1;0;1;0;1;0;1;5;2;;;;2;;;;;2;2;1;TERESINA;2211001;1;999997;1;5;1;;0,182607017
567124;BANDA-LARGA;OI;RJ;27/jul/20;2020;1;;2;2;1;1;1;1;59;8;2;3;2;4;4;2;2;5;5;;2;;;;;;;5;2;;1;1;1;3;1;1;1;7;7;7;1;8;7;7;;2;2;1;RIO DE JANEIRO;3304557;1;10000;4;7;1;;3,133992759
567940;BANDA-LARGA;OI;RJ;27/jul/20;2020;1;;2;2;1;1;2;1;53;8;1;5;2;0;6;0;1;10;8;1;2;;;0;0;1;0;2;1;8;2;;1;10;1;5;2;;;;1;2;0;5;;2;1;1;RIO DE JANEIRO;3304557;1;999997;1;3;1;;3,133992759
568118;BANDA-LARGA;OI;RJ;27/jul/20;2020;1;;2;2;1;1;1;1;57;8;2;5;5;6;6;5;5;8;8;1;2;;;2;4;8;2;6;1;9;2;;2;;1;7;2;;;;1;7;6;9;;2;2;1;RIO DE JANEIRO;3304557;2;6000;3;5;1;;3,133992759
604998;BANDA-LARGA;OI;RR;27/jul/20;2020;1;;2;2;1;1;1;1;63;8;1;8;8;9;9;9;7;10;10;;;;97;;;;;;2;;2;;2;;2;;2;;;;2;;;;;2;2;1;BOA VISTA;1400100;2;999997;3;5;1;;0,084349574
638559;BANDA-LARGA;OI;SE;27/jul/20;2020;1;;2;2;1;1;1;1;60;8;2;5;6;6;5;6;6;8;7;;2;;;;;;;8;2;;2;;2;;1;7;2;;;;2;;;;;1;1;1;ARACAJU;2800308;2;7000;4;7;1;;0,115610301
719367;BANDA-LARGA;SKY;MG;27/jul/20;2020;1;;2;2;1;1;1;1;49;7;2;6;7;6;7;5;6;8;8;1;;;;8;8;9;9;;1;8;2;;1;7;1;7;1;7;7;8;2;;;;;1;2;2;SANTA LUZIA;3157807;2;2500;2;2;1;;0,105366518
719944;BANDA-LARGA;SKY;MG;27/jul/20;2020;1;;2;2;1;1;1;1;37;6;2;8;9;9;8;7;7;9;99;;;;97;;;;;;2;;2;;2;;2;;2;;;;2;;;;;2;2;2;BETIM;3106705;2;999997;99;5;3;;0,105366518
719976;BANDA-LARGA;SKY;MG;27/jul/20;2020;1;;2;2;1;1;1;1;37;6;1;5;5;3;5;5;3;0;3;1;;;;5;5;8;8;;1;0;2;;1;6;2;;2;;;;2;;;;;2;2;2;CONTAGEM;3118601;1;600;1;3;1;;0,105366518
720496;BANDA-LARGA;SKY;MG;27/jul/20;2020;1;;2;2;1;1;1;1;21;3;1;5;6;4;9;10;3;3;3;;2;;;;;;;10;2;;2;;2;;2;;2;;;;2;;;;;2;2;2;BETIM;3106705;1;2000;1;5;1;;0,105366518
747305;BANDA-LARGA;SKY;PA;27/jul/20;2020;1;;2;2;1;1;1;1;49;7;2;5;3;3;5;5;3;8;7;1;2;;;5;5;8;6;5;2;;1;8;2;;1;3;2;;;;1;8;6;6;;2;2;2;ANANINDEUA;1500800;2;15000;5;9;1;;0,123385668
747649;BANDA-LARGA;SKY;PA;27/jul/20;2020;1;;2;2;1;1;1;1;44;7;1;5;7;5;5;6;4;10;10;1;;;;4;6;9;9;;2;;1;9;1;8;1;6;2;;;;1;9;9;9;;2;2;2;BELÉM;1501402;1;5000;3;7;1;;0,123385668
772974;BANDA-LARGA;TIM;AM;27/jul/20;2020;1;;2;2;1;1;2;1;47;7;1;6;5;5;6;5;6;5;4;1;;;;3;2;2;4;;1;5;1;3;2;;1;3;2;;;;1;6;5;10;;2;2;1;MANAUS;1302603;1;17000;5;7;1;;0,088639026
772976;BANDA-LARGA;TIM;AM;27/jul/20;2020;1;;2;2;1;1;1;1;32;5;1;3;5;4;4;3;4;4;8;1;;;;6;4;9;8;;2;;2;;2;;1;2;2;;;;1;8;8;5;;2;2;1;MANAUS;1302603;2;4000;2;9;1;;0,088639026
836160;BANDA-LARGA;VIVO;BA;27/jul/20;2020;1;;2;2;1;1;1;1;29;4;1;5;7;7;5;5;5;10;10;1;;3;;5;5;8;7;;1;0;1;3;1;5;2;;2;;;;2;;;;;2;2;1;LAURO DE FREITAS;2919207;2;999997;1;5;1;;0,668020487
886468;BANDA-LARGA;VIVO;MG;27/jul/20;2020;1;;2;2;1;1;1;1;62;8;1;2;4;4;4;4;3;5;4;1;;;;0;2;5;5;;1;3;2;;2;;1;5;2;;;;1;5;5;6;;1;2;1;BELO HORIZONTE;3106200;1;999999;99;8;1;;1,475334685
886858;BANDA-LARGA;VIVO;MG;27/jul/20;2020;1;;2;2;1;1;2;1;31;5;1;5;5;5;5;4;5;5;5;1;;;;5;5;7;8;;1;5;1;7;2;;1;6;2;;;;2;;;;;1;2;1;BELO HORIZONTE;3106200;1;999999;99;7;3;;1,475334685
932276;BANDA-LARGA;VIVO;PI;27/jul/20;2020;1;;2;2;1;1;1;1;53;8;1;8;5;8;8;8;7;8;9;1;2;;;4;5;6;6;7;2;;1;7;2;;2;;2;;;;2;;;;;1;2;1;TERESINA;2211001;2;15000;5;9;3;;0,09161355
984673;BANDA-LARGA;VIVO;SP;27/jul/20;2020;1;;2;2;1;1;1;1;47;7;2;3;7;8;8;8;7;10;8;1;;;;9;9;8;10;;2;;2;;2;;1;10;2;;;;2;;;;;2;2;1;GUARULHOS;3518800;2;5000;3;7;1;;14,96133461
984839;BANDA-LARGA;VIVO;SP;27/jul/20;2020;1;;2;2;1;1;1;1;26;4;1;5;6;4;6;5;5;7;6;1;;;;2;5;6;6;;2;;2;;2;;1;0;2;;;;1;4;5;7;;2;2;1;BRAGANÇA PAULISTA;3507605;2;1400;1;7;1;;14,96133461
42021;BANDA-LARGA;CLARO/NET;CE;28/jul/20;2020;1;;2;2;1;1;1;1;70;8;1;5;5;5;5;3;5;6;5;;;;97;;;;;;2;;2;;2;;1;3;2;;;;1;3;3;3;;1;1;1;FORTALEZA;2304400;1;30000;5;9;1;;0,33047842
127403;BANDA-LARGA;CLARO/NET;PA;28/jul/20;2020;1;;2;2;1;1;1;1;38;6;2;8;8;8;7;8;7;8;8;1;;;;4;7;8;7;;2;;2;;1;6;2;;2;;;;2;;;;;1;2;1;BELÉM;1501402;2;2000;1;7;1;;0,498548009
138047;BANDA-LARGA;CLARO/NET;PB;28/jul/20;2020;1;;2;2;1;1;1;1;27;4;1;0;2;2;3;2;3;0;0;1;2;;;0;0;0;2;2;1;2;1;0;1;0;2;;2;;;;1;10;9;5;;2;2;1;JOÃO PESSOA;2507507;2;19000;5;7;1;;0,397971582
155284;BANDA-LARGA;CLARO/NET;PI;28/jul/20;2020;1;;2;2;1;1;1;1;67;8;1;10;8;8;7;8;10;8;10;1;2;;;8;7;8;10;10;1;8;1;7;2;;2;;2;;;;2;;;;;2;2;1;TERESINA;2211001;3;2080;1;2;1;;0,173615161
155661;BANDA-LARGA;CLARO/NET;PI;28/jul/20;2020;1;;2;2;1;1;2;1;40;6;2;7;6;8;8;8;7;99;6;1;;;;7;6;7;8;;1;99;2;;2;;1;7;2;;;;2;;;;;1;2;1;TERESINA;2211001;2;999998;98;7;1;;0,173615161
174813;BANDA-LARGA;CLARO/NET;RJ;28/jul/20;2020;1;;2;2;1;1;2;1;35;5;1;7;3;8;7;7;8;2;2;1;2;;;6;3;3;3;1;1;5;1;7;2;;1;4;2;;;;1;7;7;10;;1;1;1;RIO DE JANEIRO;3304557;1;6000;3;5;3;;5,355997357
175750;BANDA-LARGA;CLARO/NET;RJ;28/jul/20;2020;1;;2;2;1;1;1;1;51;8;1;5;3;5;7;4;4;5;7;1;2;;;3;3;3;5;7;1;6;1;5;2;;1;7;1;8;7;5;1;99;8;7;;1;1;1;RIO DE JANEIRO;3304557;1;10000;4;9;1;;5,355997357
194034;BANDA-LARGA;CLARO/NET;RO;28/jul/20;2020;1;;2;2;1;1;1;1;45;7;2;5;10;10;4;4;6;10;10;;;;97;;;;;;2;;2;;2;;2;;2;;;;2;;;;;2;2;1;PORTO VELHO;1100205;1;1000;1;2;1;;0,071185672
265713;BANDA-LARGA;ALGAR;MG;28/jul/20;2020;1;;2;2;1;1;1;1;38;6;1;7;7;8;8;7;9;9;10;1;2;;;8;8;9;9;9;2;;1;6;1;7;1;7;2;;;;1;8;8;9;;1;1;1;UBERLÂNDIA;3170206;1;1500;1;5;1;;1,720490595
265737;BANDA-LARGA;ALGAR;MG;28/jul/20;2020;1;;2;2;1;1;1;1;41;7;2;9;10;10;9;9;9;10;9;1;;;;9;10;10;9;;2;;2;;2;;1;9;2;;;;1;9;10;10;;2;1;1;UBERLÂNDIA;3170206;1;2100;2;5;1;;1,720490595
266220;BANDA-LARGA;ALGAR;MG;28/jul/20;2020;1;;2;2;1;1;1;1;44;7;2;8;8;10;8;8;8;9;9;1;2;3;;6;4;6;5;7;2;;1;5;2;;1;4;2;;;;1;4;4;4;;2;1;1;UBERLÂNDIA;3170206;2;4000;2;6;1;;1,720490595
286471;BANDA-LARGA;BRISANET;CE;28/jul/20;2020;1;;2;2;1;1;1;1;38;6;1;7;7;8;5;6;6;5;9;1;2;3;;8;7;8;9;9;2;;2;;2;;2;;2;;;;2;;;;;2;2;1;RUSSAS;2311801;1;1040;1;2;1;;1,30502718
286478;BANDA-LARGA;BRISANET;CE;28/jul/20;2020;1;;2;2;1;1;1;1;39;6;2;0;0;0;3;4;3;10;10;1;2;3;;0;10;5;0;0;2;;1;5;2;;1;3;2;;;;1;6;3;4;;2;2;2;HORIZONTE;2305233;2;2000;1;5;1;;1,30502718
286996;BANDA-LARGA;BRISANET;CE;28/jul/20;2020;1;;2;2;1;1;1;1;33;5;2;7;10;10;7;8;7;10;10;;2;3;;;;;;10;2;;2;;2;;1;8;1;10;10;10;2;;;;;2;2;2;FORTALEZA;2304400;1;2000;1;4;1;;1,30502718
300618;BANDA-LARGA;BRISANET;PE;28/jul/20;2020;1;;2;2;1;1;1;1;43;7;2;5;5;5;5;5;5;5;7;1;2;;;5;5;8;5;5;1;2;1;2;2;;1;5;2;;;;1;5;5;5;;2;2;2;VITÓRIA DE SANTO ANTÃO;2616407;2;5000;3;5;1;;0,153672687
316048;BANDA-LARGA;HUGHES;BA;28/jul/20;2020;1;;2;2;1;1;2;1;26;4;2;8;9;6;3;10;4;2;6;1;;;;4;5;6;6;;2;;1;10;2;;1;2;2;;;;2;;;;;2;2;2;MAIQUINIQUE;2920007;2;1500;1;5;1;;0,057069444
369913;BANDA-LARGA;OI;AC;28/jul/20;2020;1;;2;2;1;1;2;1;38;6;1;5;5;4;4;4;4;4;8;1;2;;;5;5;8;8;5;1;4;2;;1;5;1;4;1;8;4;8;1;5;5;8;;2;2;1;RIO BRANCO;1200401;1;1045;1;5;1;;0,148912782
404858;BANDA-LARGA;OI;BA;28/jul/20;2020;1;;2;2;1;1;1;1;63;8;1;0;0;0;0;0;0;0;0;1;2;3;;0;0;0;0;0;1;0;1;0;1;0;1;0;2;;;;1;0;0;0;;2;1;1;SALVADOR;2927408;2;700;1;3;1;;0,859429588
405194;BANDA-LARGA;OI;BA;28/jul/20;2020;1;;2;2;1;1;1;1;36;6;1;8;9;9;9;10;8;10;10;1;;;;7;8;7;8;;2;;2;;2;;2;;2;;;;1;10;10;10;;2;2;1;SALVADOR;2927408;1;4000;2;7;1;;0,859429588
417308;BANDA-LARGA;OI;CE;28/jul/20;2020;1;;2;2;1;1;2;1;22;3;1;8;9;7;9;8;9;10;10;1;;;;5;7;8;8;;1;8;2;;2;;1;8;2;;;;1;7;7;8;;2;1;1;FORTALEZA;2304400;1;999997;1;6;3;;0,253532134
417521;BANDA-LARGA;OI;CE;28/jul/20;2020;1;;2;2;1;1;2;1;42;7;1;5;7;8;5;6;8;8;8;1;2;;;6;7;8;8;6;1;8;1;7;1;6;1;8;2;;;;1;8;10;8;;2;1;1;FORTALEZA;2304400;2;999997;1;5;1;;0,253532134
472909;BANDA-LARGA;OI;MG;28/jul/20;2020;1;;2;2;1;1;1;1;39;6;1;5;8;5;4;5;6;7;7;1;;;;4;5;6;5;;2;;2;;2;;1;4;2;;;;1;6;8;4;;2;2;1;BELO HORIZONTE;3106200;2;3000;2;5;1;;2,373394851
473150;BANDA-LARGA;OI;MG;28/jul/20;2020;1;;2;2;1;1;1;1;45;7;1;4;7;8;6;4;5;6;8;1;2;;;6;6;5;7;5;1;7;1;4;2;;1;7;2;;;;1;8;9;8;;2;1;1;CONTAGEM;3118601;3;3000;2;6;1;;2,373394851
517770;BANDA-LARGA;OI;PB;28/jul/20;2020;1;;2;2;1;1;1;1;65;8;1;0;8;0;8;8;8;0;8;1;;;;0;8;10;10;;1;0;1;8;1;7;2;;2;;;;2;;;;;1;1;1;JOÃO PESSOA;2507507;2;2500;2;4;1;;0,096240501
530867;BANDA-LARGA;OI;PE;28/jul/20;2020;1;;2;2;1;1;1;1;48;7;1;5;5;6;4;5;3;7;7;1;;;;5;8;10;8;;1;4;2;;2;;1;4;2;;;;2;;;;;1;1;1;RECIFE;2611606;2;8000;4;7;1;;0,259755499
531026;BANDA-LARGA;OI;PE;28/jul/20;2020;1;;2;2;1;1;1;1;35;5;1;10;10;10;10;10;10;10;10;1;2;;;10;10;10;10;8;2;;1;10;1;10;1;10;2;;;;2;;;;;2;1;1;RECIFE;2611606;2;999997;3;7;1;;0,259755499
542661;BANDA-LARGA;OI;PI;28/jul/20;2020;1;;2;2;1;1;1;1;53;8;1;5;5;7;4;4;5;5;5;1;;;;4;5;6;5;;2;;2;;2;;2;;1;5;5;7;2;;;;;1;2;1;TERESINA;2211001;4;8000;4;7;1;;0,182607017
566966;BANDA-LARGA;OI;RJ;28/jul/20;2020;1;;2;2;1;1;1;1;41;7;1;8;10;10;10;8;10;8;10;1;;;;9;10;10;10;;2;;2;;2;;2;;2;;;;2;;;;;1;1;1;NITERÓI;3303302;2;12000;5;7;1;;3,133992759
