OPERADORA,ESTADO,Q5,Q7,Q7a,Q8,J1,B1_1,B1_2,C1_1,C1_2,C1_3,D1_1,D1_2,A1_1,A2_1,A2_2,A2_3,A3,E7,E8,F3,F4_1,F4_2,F4_3,G2_1,G2_2,G2_3,H1,H2,H2a,PESO,Operadoras,Estados,Churn
OI,MT,1,37,6,1,2,5,5,0,1,1,5,5,1.0,1.0,0.0,5.0,5.0,1,0.0,2,99,99,99,2,2,1,2,999999,99,"0,539319816",4,11,1
OI,PA,1,29,4,1,8,8,10,9,7,8,8,9,1.0,8.0,9.0,8.0,9.0,2,99,2,99,99,99,2,2,1,1,2000,1,"0,329718823",4,12,0
OI,PB,2,50,7,1,9,9,9,9,10,8,9,9,1.0,8.0,8.0,8.0,8.0,2,99,2,99,99,99,1,1,1,1,999998,5,"0,096240501",4,13,0
OI,PE,1,40,6,2,6,8,7,4,0,6,10,9,1.0,6.0,7.0,8.0,7.0,1,7.0,1,7.0,6.0,6.0,2,1,1,1,2000,1,"0,259755499",4,14,0
OI,PE,2,28,4,2,8,7,7,9,9,8,7,6,99,99,99,99,99,2,99,2,99,99,99,2,1,1,2,14000,5,"0,259755499",4,14,0
OI,PE,2,46,7,1,7,8,7,8,8,9,5,8,1.0,6.0,7.0,6.0,6.0,2,99,1,10.0,10.0,10.0,1,1,1,1,1500,1,"0,259755499",4,14,0
OI,PI,1,37,6,1,5,8,4,8,4,6,8,8,1.0,8.0,8.0,8.0,8.0,1,8.0,1,8.0,8.0,10.0,1,2,1,2,3000,2,"0,182607017",4,15,0
OI,PI,2,60,8,1,6,7,6,5,4,4,5,6,99,99,99,99,99,2,99,2,99,99,99,2,1,1,2,4500,3,"0,182607017",4,15,0
OI,PI,1,47,7,2,2,8,0,7,7,2,3,5,1.0,3.0,6.0,5.0,5.0,2,99,2,99,99,99,2,1,1,2,8000,4,"0,182607017",4,15,1
OI,PR,1,42,7,1,5,5,5,0,0,0,5,10,1.0,0.0,0.0,10.0,5.0,1,5.0,1,5.0,5.0,5.0,2,2,1,2,2600,2,"1,27543121",4,16,0
OI,PR,1,60,8,1,3,3,5,4,2,3,5,5,99,99,99,99,99,1,5.0,2,99,99,99,2,2,1,2,3000,2,"1,27543121",4,16,1
OI,PR,1,65,8,1,4,5,7,5,5,5,7,5,1.0,8.0,8.0,8.0,8.0,2,99,2,99,99,99,2,1,1,1,2000,1,"1,27543121",4,16,0
OI,RJ,1,60,8,1,4,7,5,3,2,3,8,8,1.0,2.0,5.0,10.0,10.0,1,8.0,1,10.0,8.0,8.0,2,2,1,3,999998,5,"3,133992759",4,17,0
OI,RJ,1,27,4,1,9,8,8,10,8,8,7,5,1.0,8.0,5.0,8.0,8.0,1,7.0,2,99,99,99,2,1,1,2,1500,1,"3,133992759",4,17,0
OI,RJ,1,71,9,1,5,5,0,5,0,5,4,10,99,99,99,99,99,1,5.0,1,10.0,10.0,10.0,2,2,1,1,1045,1,"3,133992759",4,17,0
OI,RN,2,40,6,1,7,5,6,7,7,7,5,4,1.0,6.0,6.0,6.0,6.0,1,6.0,2,99,99,99,2,1,1,1,1500,1,"0,093547923",4,18,0
OI,RN,2,40,6,1,5,3,5,7,7,5,5,10,99,99,99,99,99,2,99,2,99,99,99,2,2,2,99,999999,99,"0,093547923",4,18,0
OI,RN,2,42,7,1,4,0,0,0,0,0,0,0,1.0,0.0,0.0,10.0,0.0,2,99,2,99,99,99,1,1,1,2,900,1,"0,093547923",4,18,0
OI,RO,2,44,7,2,6,7,6,7,5,5,5,6,1.0,8.0,5.0,7.0,6.0,1,8.0,1,8.0,9.0,9.0,2,1,1,1,3000,2,"0,208631919",4,19,0
OI,RO,1,25,4,2,1,7,1,1,2,0,2,7,99,99,99,99,99,1,2.0,1,6.0,6.0,6.0,2,2,1,1,999998,99,"0,208631919",4,19,1
OI,RO,2,40,6,1,7,6,7,8,7,7,8,8,99,99,99,99,99,1,7.0,2,99,99,99,2,2,1,4,2000,1,"0,208631919",4,19,0
OI,RS,1,60,8,1,8,8,10,9,9,10,10,9,1.0,8.0,9.0,9.0,9.0,2,99,2,99,99,99,2,2,1,1,6000,3,"1,122710263",4,21,0
OI,RS,1,72,9,1,5,2,2,6,4,5,0,2,99,99,99,99,99,2,99,2,99,99,99,2,2,1,1,1000,1,"1,122710263",4,21,0
OI,RS,1,80,9,2,5,5,5,8,8,8,5,10,1.0,8.0,10.0,8.0,5.0,1,5.0,1,0.0,0.0,0.0,1,1,1,2,8000,4,"1,122710263",4,21,0
OI,SC,1,67,8,1,8,8,8,10,8,9,5,10,99,99,99,99,99,2,99,2,99,99,99,1,1,1,1,999998,99,"1,039331554",4,22,0
OI,SE,1,52,8,1,7,8,4,4,4,8,6,5,1.0,0.0,4.0,7.0,7.0,2,99,1,7.0,7.0,4.0,1,2,1,2,2000,1,"0,115610301",4,23,0
OI,SE,2,46,7,2,8,9,9,9,7,8,6,5,1.0,2.0,4.0,3.0,3.0,2,99,2,99,99,99,2,1,1,3,4500,3,"0,115610301",4,23,0
OI,SE,1,59,8,1,9,8,9,9,8,8,10,10,1.0,7.0,9.0,10.0,10.0,1,10.0,1,10.0,9.0,10.0,2,2,1,1,999998,3,"0,115610301",4,23,0
OI,TO,2,27,4,1,4,5,4,3,1,3,6,4,1.0,7.0,5.0,8.0,8.0,1,6.0,1,8.0,7.0,6.0,1,1,1,3,999998,2,"0,200930781",4,25,0
SERCOMTEL,PR,2,31,5,1,4,5,6,3,0,2,4,5,1.0,5.0,4.0,3.0,3.0,1,0.0,1,5.0,5.0,3.0,2,2,1,1,999999,99,"0,302190147",5,16,0
SERCOMTEL,PR,1,25,4,1,7,7,8,7,5,5,7,9,1.0,6.0,8.0,8.0,8.0,1,9.0,1,9.0,9.0,9.0,2,1,1,2,2000,1,"0,302190147",5,16,0
SKY,DF,1,20,3,2,7,7,8,9,8,6,7,9,1.0,7.0,6.0,9.0,9.0,2,99,2,99,99,99,2,2,2,2,2500,2,"0,070998408",6,5,0
SKY,DF,1,47,7,1,5,10,7,9,8,6,10,10,99,99,99,99,99,1,10.0,2,99,99,99,2,2,2,1,1084,1,"0,070998408",6,5,0
SKY,DF,1,23,3,2,8,9,8,9,8,9,5,6,1.0,5.0,7.0,7.0,6.0,1,7.0,2,99,99,99,2,2,2,1,1500,1,"0,070998408",6,5,0
SKY,GO,1,44,7,2,6,7,5,5,5,6,2,8,1.0,7.0,6.0,10.0,10.0,2,99,2,99,99,99,1,2,2,2,3500,2,"0,091818997",6,7,0
SKY,GO,1,37,6,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,10.0,0.0,1,0.0,1,0.0,0.0,0.0,2,2,2,1,1800,1,"0,091818997",6,7,1
SKY,GO,1,56,8,2,5,4,7,5,2,2,3,8,99,99,99,99,99,1,3.0,2,99,99,99,2,2,2,1,1500,1,"0,091818997",6,7,0
SKY,MA,1,30,4,1,10,10,10,10,0,10,0,0,1.0,0.0,0.0,0.0,0.0,2,99,2,99,99,99,1,1,2,4,1500,1,"0,099019332",6,8,0
SKY,MG,1,48,7,2,5,8,8,8,8,4,3,3,1.0,9.0,5.0,10.0,10.0,1,8.0,1,8.0,8.0,8.0,2,2,2,2,2000,1,"0,105366518",6,9,0
SKY,MG,1,30,4,1,7,7,4,5,5,5,5,8,1.0,2.0,5.0,8.0,8.0,1,5.0,2,99,99,99,2,2,2,2,2000,1,"0,105366518",6,9,0
SKY,PA,1,55,8,1,8,9,9,6,8,8,9,10,1.0,8.0,8.0,6.0,8.0,1,9.0,2,99,99,99,1,2,2,2,12000,5,"0,123385668",6,12,0
TIM,BA,1,40,6,2,10,7,6,7,7,6,6,6,1.0,5.0,7.0,8.0,7.0,2,99,2,99,99,99,2,2,1,2,2500,2,"0,148083294",7,3,0
TIM,BA,1,69,8,2,8,7,8,9,6,8,10,10,1.0,0.0,8.0,9.0,3.0,1,7.0,2,99,99,99,2,2,1,1,20000,5,"0,148083294",7,3,0
TIM,BA,1,38,6,1,10,9,9,9,9,9,9,10,1.0,8.0,8.0,10.0,10.0,1,10.0,1,10.0,10.0,10.0,2,2,1,2,999998,1,"0,148083294",7,3,0
TIM,BA,1,30,4,2,0,3,5,0,0,0,10,5,1.0,0.0,3.0,10.0,0.0,1,0.0,1,5.0,0.0,0.0,2,2,1,2,1500,1,"0,148083294",7,3,1
TIM,RJ,1,67,8,2,8,7,8,9,7,9,9,10,99,99,99,99,99,1,8.0,2,99,99,99,2,2,2,1,999998,1,"1,162629684",7,17,0
TIM,RJ,1,59,8,1,10,8,8,9,8,8,9,9,99,99,99,99,99,2,99,2,99,99,99,2,1,1,1,999998,2,"1,162629684",7,17,0
UNIFIQUE,SC,1,57,8,1,8,10,9,8,10,7,9,10,1.0,0.0,10.0,10.0,5.0,2,99,2,99,99,99,2,2,1,2,999998,99,"1,803466277",8,22,0
VIVO,BA,1,30,4,1,7,6,7,6,4,6,8,7,1.0,0.0,7.0,7.0,6.0,1,6.0,2,99,99,99,2,1,1,2,999998,1,"0,668020487",9,3,0
VIVO,BA,1,47,7,2,7,8,7,7,6,8,5,7,1.0,6.0,6.0,6.0,5.0,1,6.0,1,6.0,5.0,6.0,1,2,1,2,999998,99,"0,668020487",9,3,0
VIVO,BA,1,55,8,2,8,8,8,9,8,9,7,7,99,99,99,99,99,1,9.0,1,10.0,9.0,9.0,2,2,1,1,2000,1,"0,668020487",9,3,0
VIVO,GO,2,18,3,1,10,10,10,10,10,10,10,10,1.0,10.0,10.0,10.0,10.0,1,10.0,2,99,99,99,2,1,1,2,2000,1,"0,791468434",9,7,0
VIVO,GO,1,22,3,1,8,10,8,7,6,8,10,8,99,99,99,99,99,2,99,2,99,99,99,2,2,1,3,2500,2,"0,791468434",9,7,0
VIVO,GO,1,32,5,2,5,8,7,1,2,3,8,9,1.0,0.0,4.0,0.0,0.0,1,5.0,1,6.0,8.0,5.0,2,1,1,2,2000,1,"0,791468434",9,7,0
VIVO,MG,2,29,4,2,7,8,7,8,7,7,8,8,1.0,9.0,10.0,10.0,10.0,1,6.0,1,10.0,10.0,7.0,2,2,1,3,20000,5,"1,475334685",9,9,0
VIVO,MG,2,61,8,1,8,8,8,8,6,8,10,10,1.0,6.0,7.0,8.0,9.0,1,7.0,1,8.0,9.0,9.0,1,2,1,2,5000,3,"1,475334685",9,9,0
VIVO,PB,2,51,8,1,6,6,5,6,6,6,6,99,99,99,99,99,99,1,7.0,1,8.0,8.0,8.0,2,2,1,2,999998,3,"0,212973903",9,13,0
VIVO,PB,1,50,7,2,9,8,8,9,10,9,10,10,1.0,7.0,7.0,8.0,8.0,2,99,2,99,99,99,1,2,2,3,2500,2,"0,212973903",9,13,0
VIVO,PE,1,50,7,2,9,9,9,9,9,9,10,10,1.0,7.0,7.0,8.0,7.0,2,99,2,99,99,99,2,2,1,1,15000,5,"0,710561378",9,14,0
VIVO,PI,1,60,8,1,9,8,9,10,9,9,8,8,1.0,7.0,9.0,9.0,9.0,2,99,2,99,99,99,2,2,1,1,3000,2,"0,09161355",9,15,0
VIVO,PI,1,38,6,2,9,9,8,10,9,9,6,6,1.0,9.0,8.0,8.0,9.0,2,99,2,99,99,99,1,1,1,2,40000,5,"0,09161355",9,15,0
VIVO,PR,1,44,7,2,9,9,10,9,10,9,8,9,99,99,99,99,99,2,99,2,99,99,99,1,2,1,2,10000,4,"1,950081038",9,16,0
VIVO,PR,2,39,6,1,7,9,8,9,9,9,8,10,1.0,8.0,9.0,10.0,8.0,2,99,1,9.0,9.0,9.0,2,2,1,2,5000,3,"1,950081038",9,16,0
VIVO,PR,1,60,8,1,7,8,7,6,7,6,8,6,99,99,99,99,99,2,99,2,99,99,99,2,2,1,2,999999,99,"1,950081038",9,16,0
VIVO,PR,1,40,6,1,8,8,7,8,6,8,8,10,1.0,8.0,7.0,9.0,8.0,1,10.0,1,9.0,10.0,10.0,2,2,1,1,1200,1,"1,950081038",9,16,0
VIVO,PR,1,46,7,1,8,9,6,9,9,9,10,8,99,99,99,99,99,2,99,2,99,99,99,2,2,1,3,3000,2,"1,950081038",9,16,0
VIVO,RS,1,47,7,2,10,10,10,10,8,10,10,10,1.0,0.0,8.0,10.0,8.0,1,8.0,1,8.0,10.0,10.0,1,1,1,2,4000,2,"1,524497128",9,21,0
VIVO,RS,1,41,7,1,3,2,2,5,3,3,0,0,1.0,0.0,0.0,5.0,8.0,1,5.0,1,8.0,8.0,5.0,1,1,1,1,999998,99,"1,524497128",9,21,1
VIVO,SC,2,43,7,1,10,10,10,10,10,10,0,10,99,99,99,99,99,2,99,2,99,99,99,2,1,1,1,999999,99,"1,124866094",9,22,0
VIVO,SP,2,43,7,1,3,7,3,4,5,4,5,5,1.0,0.0,2.0,2.0,7.0,2,99,2,99,99,99,2,2,1,1,300,1,"14,96133461",9,24,1
VIVO,SP,1,39,6,1,10,8,10,10,10,10,8,8,99,99,99,99,99,2,99,2,99,99,99,2,2,2,2,4000,2,"14,96133461",9,24,0
CLARO/NET,AC,1,52,8,1,5,5,5,0,0,0,5,0,99,99,99,99,99,1,0.0,1,0.0,0.0,0.0,1,2,2,1,1500,1,"0,076348118",2,0,0
CLARO/NET,AL,1,42,7,1,7,6,6,7,7,8,6,7,1.0,5.0,6.0,6.0,7.0,1,8.0,1,9.0,9.0,9.0,1,1,1,1,4000,2,"0,343029426",2,1,0
CLARO/NET,AL,1,29,4,1,5,7,3,5,0,7,0,3,1.0,10.0,0.0,5.0,5.0,2,99,2,99,99,99,2,2,2,2,2500,2,"0,343029426",2,1,0
CLARO/NET,AL,2,34,5,1,5,6,5,4,5,5,7,6,99,99,99,99,99,1,7.0,2,99,99,99,2,2,2,2,999998,99,"0,343029426",2,1,0
CLARO/NET,BA,1,34,5,2,6,8,7,7,5,6,9,7,1.0,4.0,8.0,8.0,6.0,1,7.0,2,99,99,99,2,1,2,2,13000,5,"0,511635463",2,3,0
CLARO/NET,BA,1,40,6,2,7,7,5,9,8,8,7,5,99,99,99,99,99,1,8.0,2,99,99,99,1,1,1,1,10000,4,"0,511635463",2,3,0
CLARO/NET,BA,2,65,8,1,8,8,8,7,9,8,9,9,99,99,99,99,99,2,99,2,99,99,99,2,2,1,3,8000,4,"0,511635463",2,3,0
CLARO/NET,CE,1,42,7,2,8,6,8,9,9,7,6,5,1.0,10.0,8.0,10.0,8.0,2,99,2,99,99,99,1,1,1,2,7000,4,"0,33047842",2,4,0
CLARO/NET,CE,1,59,8,2,8,7,9,10,9,8,9,9,1.0,10.0,9.0,10.0,10.0,2,99,2,99,99,99,2,1,2,1,10000,4,"0,33047842",2,4,0
CLARO/NET,DF,1,26,4,2,6,5,1,4,3,5,5,3,1.0,2.0,0.0,0.0,0.0,2,99,1,5.0,6.0,5.0,1,1,1,3,999998,4,"1,51406594",2,5,0
CLARO/NET,DF,1,67,8,2,6,8,5,7,6,7,7,8,1.0,7.0,8.0,9.0,8.0,1,8.0,2,99,99,99,2,1,1,2,999998,5,"1,51406594",2,5,0
CLARO/NET,DF,1,68,8,2,7,7,6,8,6,8,8,8,1.0,7.0,7.0,8.0,8.0,2,99,1,8.0,8.0,8.0,1,2,1,1,14000,5,"1,51406594",2,5,0
CLARO/NET,DF,1,75,9,2,8,8,7,8,9,8,8,6,99,99,99,99,99,1,8.0,2,99,99,99,1,2,1,2,20000,5,"1,51406594",2,5,0
CLARO/NET,DF,1,40,6,2,7,8,8,7,6,7,8,8,1.0,6.0,7.0,8.0,9.0,1,8.0,2,99,99,99,1,2,1,1,5000,3,"1,51406594",2,5,0
CLARO/NET,DF,1,32,5,2,6,6,3,7,2,3,7,8,1.0,4.0,8.0,6.0,5.0,1,3.0,1,4.0,9.0,9.0,1,2,1,2,8000,4,"1,51406594",2,5,0
CLARO/NET,DF,2,41,7,1,8,10,9,7,7,8,10,10,99,99,99,99,99,2,99,2,99,99,99,1,1,1,1,17000,5,"1,51406594",2,5,0
CLARO/NET,GO,1,24,3,2,5,9,0,8,8,8,0,9,1.0,5.0,2.0,9.0,9.0,2,99,2,99,99,99,2,2,2,99,999998,99,"0,800542161",2,7,0
CLARO/NET,GO,1,43,7,1,0,10,0,0,0,0,0,10,99,99,99,99,99,1,0.0,2,99,99,99,2,2,2,1,3000,2,"0,800542161",2,7,1
CLARO/NET,MA,1,42,7,1,10,10,10,10,10,10,10,10,1.0,9.0,8.0,8.0,10.0,2,99,2,99,99,99,2,1,2,2,2000,1,"0,30203225",2,8,0
CLARO/NET,MG,2,34,5,1,7,7,6,6,7,7,6,7,1.0,7.0,7.0,8.0,8.0,1,8.0,1,9.0,9.0,9.0,1,2,1,1,3000,2,"2,41303017",2,9,0
CLARO/NET,MG,1,59,8,2,4,8,4,4,2,7,9,9,1.0,8.0,2.0,10.0,8.0,1,1.0,1,99.0,9.0,1.0,1,2,1,2,999998,99,"2,41303017",2,9,0
CLARO/NET,MG,1,44,7,1,9,9,8,8,7,10,9,9,1.0,7.0,7.0,8.0,8.0,2,99,2,99,99,99,2,2,2,2,4000,2,"2,41303017",2,9,0
CLARO/NET,MS,2,70,8,1,8,8,7,7,8,8,8,9,99,99,99,99,99,2,99,2,99,99,99,1,1,1,3,999998,1,"0,448520949",2,10,0
CLARO/NET,PB,1,61,8,1,8,7,9,10,10,9,8,10,1.0,7.0,7.0,7.0,7.0,2,99,2,99,99,99,1,2,1,1,4000,2,"0,397971582",2,13,0
CLARO/NET,PE,1,59,8,1,5,6,4,5,3,7,0,4,1.0,0.0,0.0,2.0,2.0,1,4.0,1,0.0,0.0,4.0,2,2,1,1,15000,5,"0,454021016",2,14,0
CLARO/NET,PE,1,57,8,2,2,1,1,4,5,2,7,7,1.0,2.0,3.0,5.0,3.0,1,3.0,2,99,99,99,2,2,1,1,7000,4,"0,454021016",2,14,1
CLARO/NET,PI,1,43,7,2,8,7,8,9,9,8,7,7,1.0,7.0,8.0,7.0,7.0,1,8.0,2,99,99,99,1,1,1,2,999998,99,"0,173615161",2,15,0
CLARO/NET,PR,1,46,7,1,5,2,0,2,2,5,0,5,1.0,8.0,5.0,8.0,8.0,1,5.0,1,2.0,8.0,8.0,2,2,1,2,3000,2,"2,176868465",2,16,0
CLARO/NET,RJ,1,36,6,1,10,10,10,10,10,10,7,7,1.0,6.0,9.0,6.0,8.0,1,10.0,2,99,99,99,1,2,2,2,2000,1,"5,355997357",2,17,0
CLARO/NET,RN,1,35,5,1,10,10,10,10,9,8,10,9,1.0,8.0,9.0,10.0,9.0,2,99,2,99,99,99,1,2,1,1,999998,99,"0,333738666",2,18,0
CLARO/NET,RO,1,51,8,2,10,10,10,10,9,10,6,6,1.0,7.0,7.0,10.0,10.0,2,99,2,99,99,99,2,1,2,2,8000,4,"0,071185672",2,19,0
CLARO/NET,SP,1,51,8,2,5,3,5,5,5,8,4,4,1.0,2.0,2.0,6.0,6.0,1,5.0,2,99,99,99,1,2,1,3,3000,2,"19,63292645",2,24,0
CLARO/NET,TO,1,60,8,2,0,5,5,5,3,3,5,5,99,99,99,99,99,1,7.0,1,7.0,8.0,8.0,2,1,1,2,999998,1,"0,06265625",2,25,1
CLARO/NET,TO,1,45,7,1,6,8,8,8,8,8,6,9,1.0,9.0,10.0,10.0,10.0,1,10.0,2,99,99,99,1,2,1,1,999998,1,"0,06265625",2,25,0
ALGAR,GO,1,43,7,2,0,0,0,2,0,0,0,8,1.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,5.0,0.0,2,2,1,2,3000,2,"0,082942386",0,7,1
ALGAR,GO,2,54,8,1,9,9,9,9,8,8,8,9,1.0,8.0,8.0,7.0,9.0,2,99,2,99,99,99,2,2,1,1,999998,1,"0,082942386",0,7,0
ALGAR,MG,1,30,4,2,5,5,10,3,5,5,5,5,1.0,6.0,5.0,10.0,5.0,1,5.0,1,5.0,10.0,7.0,2,1,1,2,3500,2,"1,720490595",0,9,0
ALGAR,MG,1,57,8,1,8,9,9,8,7,7,8,10,1.0,4.0,8.0,6.0,8.0,2,99,2,99,99,99,2,2,1,2,4000,2,"1,720490595",0,9,0
ALGAR,MG,2,21,3,2,7,8,10,7,9,7,10,10,99,99,99,99,99,2,99,2,99,99,99,1,1,1,2,999999,99,"1,720490595",0,9,0
BRISANET,CE,1,42,7,2,9,10,10,9,10,9,9,10,1.0,9.0,9.0,9.0,9.0,2,99,2,99,99,99,2,2,2,3,5000,3,"1,30502718",1,4,0
BRISANET,CE,1,21,3,2,9,10,9,8,8,10,10,10,99,99,99,99,99,1,9.0,2,99,99,99,2,2,2,3,3000,2,"1,30502718",1,4,0
BRISANET,PE,1,22,3,1,8,7,9,9,8,9,10,10,99,99,99,99,99,1,8.0,2,99,99,99,2,2,2,3,10000,4,"0,153672687",1,14,0
HUGHES,BA,1,42,7,2,3,0,5,5,5,0,10,7,99,99,99,99,99,1,5.0,2,99,99,99,2,2,2,2,999998,5,"0,057069444",3,3,1
HUGHES,MG,1,25,4,1,7,10,8,6,7,8,7,7,1.0,6.0,8.0,10.0,9.0,1,8.0,2,99,99,99,2,2,2,2,750,1,"0,105097772",3,9,0
HUGHES,SP,1,49,7,2,3,3,3,3,3,3,3,3,1.0,3.0,5.0,5.0,3.0,1,5.0,2,99,99,99,2,2,2,2,2000,1,"0,106652325",3,24,1
OI,AL,1,77,9,2,4,6,6,5,4,5,4,8,1.0,6.0,4.0,5.0,7.0,1,8.0,1,8.0,10.0,10.0,2,2,1,1,1800,1,"0,083964386",4,1,0
OI,AL,1,56,8,2,5,5,5,3,3,3,3,8,1.0,8.0,5.0,7.0,8.0,2,99,2,99,99,99,2,1,1,1,8050,4,"0,083964386",4,1,0
OI,AL,1,68,8,1,8,10,8,10,8,8,10,10,1.0,6.0,10.0,10.0,6.0,2,99,2,99,99,99,1,1,1,3,3000,2,"0,083964386",4,1,0
OI,AM,1,38,6,2,4,8,4,2,2,4,10,10,1.0,10.0,10.0,10.0,10.0,1,4.0,1,10.0,6.0,5.0,2,1,1,2,18000,5,"0,087477352",4,2,0
OI,AM,2,41,7,1,7,7,7,7,7,7,10,7,1.0,7.0,8.0,10.0,9.0,1,7.0,1,9.0,10.0,7.0,2,2,1,2,999998,1,"0,087477352",4,2,0
OI,BA,1,43,7,2,0,8,0,0,0,0,5,8,1.0,3.0,3.0,3.0,3.0,1,0.0,1,5.0,8.0,0.0,1,2,1,2,8000,4,"0,859429588",4,3,1
OI,BA,1,60,8,1,7,7,5,6,4,4,7,9,1.0,8.0,8.0,8.0,8.0,1,6.0,1,8.0,8.0,6.0,2,1,1,1,7500,4,"0,859429588",4,3,0
OI,CE,2,26,4,2,0,0,0,10,5,10,0,10,1.0,0.0,0.0,10.0,10.0,1,10.0,1,0.0,0.0,5.0,1,2,1,6,4050,2,"0,253532134",4,4,1
OI,CE,1,65,8,1,7,8,8,8,8,8,7,7,1.0,7.0,6.0,7.0,8.0,2,99,2,99,99,99,2,1,1,2,5000,3,"0,253532134",4,4,0
OI,CE,2,35,5,1,7,7,6,5,5,4,10,8,1.0,8.0,8.0,9.0,9.0,1,8.0,1,8.0,9.0,9.0,2,1,1,4,15000,5,"0,253532134",4,4,0
OI,CE,2,24,3,2,3,3,5,0,0,5,8,10,1.0,5.0,0.0,5.0,0.0,1,0.0,2,99,99,99,2,1,1,2,3000,2,"0,253532134",4,4,1
OI,DF,1,26,4,1,2,5,4,1,0,1,8,7,1.0,5.0,0.0,8.0,6.0,1,0.0,1,8.0,8.0,0.0,2,2,1,2,4000,2,"0,437668628",4,5,1
OI,DF,2,34,5,2,8,9,9,10,9,8,7,7,1.0,0.0,3.0,1.0,1.0,2,99,2,99,99,99,2,2,2,3,999998,3,"0,437668628",4,5,0
OI,DF,2,55,8,2,6,5,6,5,5,6,7,3,1.0,3.0,4.0,4.0,4.0,2,99,2,99,99,99,2,2,1,4,999998,3,"0,437668628",4,5,0
OI,ES,1,61,8,2,8,10,8,8,8,7,10,10,1.0,7.0,10.0,10.0,10.0,1,9.0,1,9.0,10.0,10.0,1,2,1,1,8500,4,"0,514795598",4,6,0
OI,ES,1,77,9,1,10,10,10,9,9,9,10,10,1.0,9.0,10.0,9.0,10.0,2,99,1,10.0,10.0,10.0,1,2,1,2,999998,1,"0,514795598",4,6,0
OI,ES,1,72,9,2,5,5,5,5,5,6,8,8,1.0,3.0,6.0,7.0,8.0,1,8.0,1,10.0,10.0,10.0,1,1,1,3,2000,1,"0,514795598",4,6,0
OI,ES,1,73,9,1,10,10,10,10,10,10,10,10,1.0,10.0,10.0,10.0,10.0,1,10.0,1,10.0,10.0,10.0,1,2,1,1,2800,2,"0,514795598",4,6,0
OI,GO,1,51,8,1,7,10,7,8,5,7,6,10,1.0,9.0,10.0,10.0,9.0,1,6.0,1,9.0,9.0,9.0,2,2,1,2,999999,99,"1,21207721",4,7,0
OI,GO,1,52,8,1,4,5,7,4,4,3,8,8,1.0,4.0,4.0,7.0,7.0,1,4.0,1,4.0,4.0,4.0,2,2,1,5,4000,2,"1,21207721",4,7,0
OI,MG,1,40,6,2,4,5,5,4,6,3,8,8,99,99,99,99,99,1,5.0,2,99,99,99,1,1,1,3,6000,3,"2,373394851",4,9,0
OI,MG,1,36,6,1,2,5,0,9,5,0,5,5,1.0,0.0,5.0,5.0,2.0,1,2.0,2,99,99,99,2,2,1,1,700,1,"2,373394851",4,9,1
OI,MS,1,62,8,2,7,8,7,8,8,5,5,5,99,99,99,99,99,1,5.0,1,7.0,8.0,9.0,2,2,1,2,4500,3,"0,515743188",4,10,0
OI,MS,2,52,8,2,0,2,0,0,0,0,2,2,1.0,0.0,2.0,2.0,3.0,1,5.0,1,0.0,2.0,5.0,2,2,1,2,2500,2,"0,515743188",4,10,1
OI,MT,1,76,9,1,5,7,5,9,9,10,8,4,99,99,99,99,99,2,99,1,9.0,9.0,9.0,1,2,1,1,3000,2,"0,539319816",4,11,0
OI,PA,2,39,6,1,8,10,8,9,9,8,10,10,1.0,9.0,10.0,10.0,10.0,1,10.0,2,99,99,99,2,2,1,2,1500,1,"0,329718823",4,12,0
OI,PA,1,72,9,2,8,10,10,10,10,10,10,10,1.0,8.0,9.0,9.0,10.0,1,8.0,1,7.0,7.0,8.0,2,1,1,1,18000,5,"0,329718823",4,12,0
OI,PA,1,57,8,2,0,0,0,1,0,0,1,0,1.0,1.0,0.0,10.0,10.0,1,2.0,2,99,99,99,2,2,1,1,3000,2,"0,329718823",4,12,1
OI,PA,1,56,8,2,5,3,3,4,3,3,10,3,1.0,5.0,6.0,10.0,6.0,1,7.0,1,6.0,10.0,7.0,2,2,1,2,45000,5,"0,329718823",4,12,0
OI,PB,1,42,7,2,6,5,4,5,3,5,4,2,99,99,99,99,99,1,2.0,1,6.0,5.0,5.0,2,2,1,1,1800,1,"0,096240501",4,13,0
OI,PE,1,30,4,1,2,2,2,2,0,0,2,2,1.0,8.0,0.0,0.0,8.0,1,0.0,2,99,99,99,2,2,1,2,5000,3,"0,259755499",4,14,1
OI,PE,1,47,7,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,5.0,0.0,1,0.0,1,0.0,5.0,0.0,2,1,1,2,999998,5,"0,259755499",4,14,1
OI,PE,1,55,8,1,7,5,6,5,4,7,9,6,1.0,7.0,10.0,10.0,7.0,1,6.0,1,5.0,9.0,3.0,2,1,1,3,3500,2,"0,259755499",4,14,0
OI,PE,1,75,9,1,7,7,7,6,6,5,5,8,1.0,8.0,8.0,9.0,9.0,1,6.0,1,10.0,8.0,10.0,2,2,2,99,999998,99,"0,259755499",4,14,0
OI,RJ,1,71,9,2,0,1,0,5,3,3,10,10,1.0,2.0,5.0,5.0,3.0,1,3.0,2,99,99,99,2,1,1,2,999998,5,"3,133992759",4,17,1
