OPERADORA,ESTADO,Q5,Q7,Q7a,Q8,J1,B1_1,B1_2,C1_1,C1_2,C1_3,D1_1,D1_2,A1_1,A2_1,A2_2,A2_3,A3,E7,E8,F3,F4_1,F4_2,F4_3,G2_1,G2_2,G2_3,H1,H2,H2a,PESO,Operadoras,Estados,Churn
HUGHES,RS,1,66,8,1,6,7,7,6,6,6,6,7,99,99,99,99,99,1,7.0,2,99,99,99,2,2,2,2,3000,2,"0,068548425",3,21,0
HUGHES,RS,1,40,6,1,9,10,10,10,10,10,10,10,99,99,99,99,99,2,99,2,99,99,99,2,2,2,2,2300,2,"0,068548425",3,21,0
HUGHES,RS,2,50,7,1,10,10,10,8,8,7,10,10,99,99,99,99,99,2,99,2,99,99,99,2,2,2,2,2500,2,"0,068548425",3,21,0
HUGHES,SP,1,42,7,2,7,10,8,9,8,8,5,10,1.0,9.0,10.0,9.0,10.0,1,10.0,2,99,99,99,2,2,2,2,20000,5,"0,106652325",3,24,0
OI,AC,1,41,7,1,8,7,8,8,9,8,9,8,1.0,7.0,8.0,8.0,8.0,1,8.0,1,8.0,8.0,8.0,2,2,1,1,1500,1,"0,148912782",4,0,0
OI,AC,1,45,7,1,5,5,99,3,4,2,8,8,1.0,5.0,5.0,5.0,8.0,2,99,2,99,99,99,2,2,1,1,1500,1,"0,148912782",4,0,0
OI,AL,1,26,4,1,8,9,9,8,8,9,10,10,1.0,9.0,8.0,10.0,9.0,1,9.0,2,99,99,99,2,1,1,3,3300,2,"0,083964386",4,1,0
OI,CE,1,41,7,2,3,5,5,5,2,4,3,4,1.0,5.0,2.0,5.0,3.0,1,2.0,1,2.0,2.0,2.0,2,1,1,2,5000,3,"0,253532134",4,4,1
OI,DF,1,47,7,2,6,4,5,6,7,6,4,5,1.0,7.0,4.0,8.0,8.0,2,99,2,99,99,99,2,2,1,2,3000,2,"0,437668628",4,5,0
OI,ES,2,32,5,1,8,9,9,10,9,8,8,9,1.0,10.0,10.0,10.0,10.0,1,10.0,2,99,99,99,2,2,1,1,1500,1,"0,514795598",4,6,0
OI,ES,1,46,7,1,7,7,6,7,5,7,7,7,1.0,7.0,6.0,7.0,7.0,1,6.0,1,8.0,7.0,6.0,1,2,1,2,5200,3,"0,514795598",4,6,0
OI,ES,1,53,8,1,8,10,10,8,7,9,10,10,1.0,8.0,7.0,9.0,9.0,1,9.0,1,7.0,10.0,10.0,1,1,1,2,6000,3,"0,514795598",4,6,0
OI,ES,1,59,8,1,5,5,5,5,4,5,5,5,1.0,8.0,10.0,10.0,10.0,1,0.0,2,99,99,99,2,2,1,2,999999,99,"0,514795598",4,6,0
OI,GO,2,52,8,2,7,7,5,6,5,7,8,8,1.0,0.0,5.0,5.0,6.0,2,99,2,99,99,99,2,2,1,3,7000,4,"1,21207721",4,7,0
OI,GO,1,26,4,1,7,7,7,6,6,6,10,7,1.0,5.0,8.0,9.0,8.0,1,8.0,1,9.0,8.0,8.0,2,1,1,3,3000,2,"1,21207721",4,7,0
OI,MG,1,80,9,2,9,10,9,10,9,8,10,10,1.0,10.0,9.0,10.0,9.0,2,99,2,99,99,99,1,1,1,3,10000,4,"2,373394851",4,9,0
OI,MG,1,36,6,2,5,7,3,5,5,5,0,3,99,99,99,99,99,1,0.0,1,99.0,3.0,3.0,1,1,1,2,5000,3,"2,373394851",4,9,0
OI,MS,1,40,6,1,8,10,10,10,0,10,10,10,1.0,10.0,10.0,10.0,10.0,2,99,2,99,99,99,2,2,1,3,999998,2,"0,515743188",4,10,0
OI,PE,1,38,6,1,4,7,5,5,5,5,10,8,1.0,0.0,2.0,8.0,8.0,1,7.0,2,99,99,99,2,2,1,2,6000,3,"0,259755499",4,14,0
OI,PI,1,51,8,1,3,0,0,2,2,2,0,4,1.0,3.0,5.0,5.0,5.0,1,3.0,1,7.0,6.0,5.0,2,1,1,2,999998,1,"0,182607017",4,15,1
OI,PI,2,60,8,1,10,10,8,10,5,9,7,10,1.0,9.0,9.0,9.0,5.0,2,99,2,99,99,99,2,2,2,1,3000,2,"0,182607017",4,15,0
